level=warn ts=2025-09-25T08:19:26.415994017Z caller=main.go:130 msg="-- CONFIGURATION WARNINGS --"
level=warn ts=2025-09-25T08:19:26.416056807Z caller=main.go:136 msg="Local backend will not correctly retrieve traces with a distributed deployment unless all components have access to the same disk. You should probably be using object storage as a backend."
level=info ts=2025-09-25T08:19:26.689980559Z caller=main.go:114 msg="Starting Tempo" version="(version=v2.8.2, branch=HEAD, revision=6b9261586)" target=distributor
level=info ts=2025-09-25T08:19:26.694977557Z caller=server.go:265 msg="server listening on addresses" http=[::]:3200 grpc=[::]:9095
ts=2025-09-25T08:19:26Z level=info msg="OTel Shim Logger Initialized" component=tempo
level=info ts=2025-09-25T08:19:26.796605978Z caller=memberlist_client.go:463 msg="Using memberlist cluster label and node name" cluster_label=tempo.monitoring node=tempo-distributor-544497c4bc-4nw27-e30bb777
level=info ts=2025-09-25T08:19:26.890019305Z caller=module_service.go:82 msg=starting module=internal-server
level=info ts=2025-09-25T08:19:26.890083682Z caller=module_service.go:82 msg=starting module=server
level=info ts=2025-09-25T08:19:26.89019773Z caller=module_service.go:82 msg=starting module=memberlist-kv
level=info ts=2025-09-25T08:19:26.890229859Z caller=module_service.go:82 msg=starting module=usage-report
level=info ts=2025-09-25T08:19:26.890283842Z caller=module_service.go:82 msg=starting module=ring
level=info ts=2025-09-25T08:19:26.890282419Z caller=module_service.go:82 msg=starting module=overrides
level=info ts=2025-09-25T09:08:40.944584523Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:09:10.943349953Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:09:40.941768581Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:10:10.940738709Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:10:40.939282387Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:11:10.9376888Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:11:40.935968304Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:12:10.934485447Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:12:40.933378751Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:13:10.931350786Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:13:40.930444288Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:14:10.928719643Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:14:40.926538729Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:15:10.925189279Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:15:40.923792386Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:16:10.922964463Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:16:40.920763806Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:17:10.920412815Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:17:40.918845261Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:18:10.917284796Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:18:40.916060138Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:19:10.914433821Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:19:40.912599135Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T09:20:10.911175036Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
